# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# GO ID	Branch	Name	Genes	Children	Parents
GO:0010097	P	specification of stamen identity			GO:0010093,
GO:0010098	P	suspensor development			GO:0048856,
GO:0010099	P	regulation of photomorphogenesis		GO:0010100,GO:2000306,	GO:2000030,GO:0048580,
GO:0010100	P	negative regulation of photomorphogenesis			GO:0048585,GO:0048581,GO:0010099,
GO:0010101	P	post-embryonic root morphogenesis		GO:0010102,	GO:0090697,GO:0010015,
GO:0010102	P	lateral root morphogenesis			GO:0010101,
GO:0010103	P	stomatal complex morphogenesis			GO:0090626,GO:0090698,
GO:0010104	P	regulation of ethylene-activated signaling pathway		GO:0010105,	GO:0070297,
GO:0010105	P	negative regulation of ethylene-activated signaling pathway			GO:0070298,GO:0010104,
GO:0010106	P	cellular response to iron ion starvation	nfuA,	GO:0033217,	GO:0009267,
GO:0010107	P	potassium ion import		GO:1990573,	GO:0071805,
GO:0010108	P	detection of glutamine			GO:0009593,
GO:0010109	P	regulation of photosynthesis		GO:0080005,GO:1905156,GO:0042548,GO:1905157,GO:0010110,	GO:0031323,
GO:0010110	P	regulation of photosynthesis, dark reaction		GO:0080152,	GO:0043255,GO:0010109,
GO:0010111	P	glyoxysome organization			GO:0009657,GO:0007031,
GO:0010112	P	regulation of systemic acquired resistance		GO:1901672,GO:0052299,GO:0010113,GO:0052089,	GO:0032101,GO:0002831,GO:0045088,GO:0043900,
GO:0010113	P	negative regulation of systemic acquired resistance		GO:0052004,	GO:0045824,GO:0002832,GO:0010112,GO:0043901,GO:0032102,
GO:0010114	P	response to red light		GO:0010202,GO:0010203,GO:0009907,GO:0071491,	GO:0009639,
GO:0010115	P	regulation of abscisic acid biosynthetic process		GO:0090359,GO:0010116,	GO:0010565,GO:0043455,GO:1902930,GO:0031326,GO:0019747,GO:0046890,
GO:0010116	P	positive regulation of abscisic acid biosynthetic process			GO:0045828,GO:0031328,GO:0010115,GO:1902932,GO:0046889,
GO:0010117	P	photoprotection			GO:0009416,
GO:0010118	P	stomatal movement		GO:1990069,GO:0090332,	GO:0009987,
GO:0010119	P	regulation of stomatal movement		GO:0090333,GO:1902456,	GO:0050794,
GO:0010120	P	camalexin biosynthetic process			GO:0009700,GO:0052317,GO:0044272,
GO:0010121	P	arginine catabolic process to proline via ornithine			GO:0019493,
GO:0010122	P	arginine catabolic process to alanine via ornithine			GO:0006522,GO:0006527,
GO:0010123	P	acetate catabolic process to butyrate, ethanol, acetone and butanol			GO:0019605,GO:0006067,GO:0043443,GO:0071270,GO:0019654,GO:0045733,
GO:0010124	P	phenylacetate catabolic process	fadA,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,		GO:0042178,GO:1901361,GO:0072329,GO:0019439,GO:0009407,GO:0042537,GO:0009852,
GO:0010125	P	mycothiol biosynthetic process			GO:0051188,GO:0016138,GO:0044272,GO:0010126,
GO:0010126	P	mycothiol metabolic process		GO:0010125,	GO:0006790,GO:0016137,GO:0051186,
GO:0010127	P	mycothiol-dependent detoxification			GO:0098754,
GO:0010128	P	benzoate catabolic process via CoA ligation			GO:0018875,GO:0043639,
GO:0010129	P	anaerobic cyclohexane-1-carboxylate catabolic process			GO:0042178,GO:0019439,
GO:0010130	P	anaerobic ethylbenzene catabolic process			GO:0018913,
GO:0010131	P	obsolete sucrose catabolic process, using invertase or sucrose synthase			
GO:0010132	P	dhurrin biosynthetic process			GO:0019756,GO:1901806,
GO:0010133	P	proline catabolic process to glutamate	putA,		GO:0006536,GO:0006562,
GO:0010134	P	sulfate assimilation via adenylyl sulfate reduction			GO:0000103,GO:0019419,
GO:0010135	P	ureide metabolic process		GO:0010137,GO:0010136,	GO:0043603,
GO:0010136	P	ureide catabolic process			GO:0044270,GO:0010135,
GO:0010137	P	ureide biosynthetic process			GO:0043604,GO:0010135,
GO:0010138	P	pyrimidine ribonucleotide salvage		GO:0006238,GO:0044211,GO:0044206,	GO:0009220,GO:0032262,
GO:0010139	P	pyrimidine deoxyribonucleotide salvage	yfbR,	GO:0006239,GO:0036198,	GO:0009221,GO:0032262,
GO:0010140	P	obsolete adenine, hypoxanthine and their nucleoside salvage			
GO:0010141	P	obsolete guanine, xanthine and their nucleoside salvage			
GO:0010142	P	farnesyl diphosphate biosynthetic process, mevalonate pathway			GO:1902767,GO:0045337,
GO:0010143	P	cutin biosynthetic process			GO:0009059,
GO:0010144	P	pyridoxal phosphate biosynthetic process from pyridoxamine			GO:0042818,GO:0009443,
GO:0010145	P	fructan metabolic process		GO:1902926,GO:0010146,GO:0010147,	GO:0044264,
GO:0010146	P	fructan biosynthetic process		GO:1902928,	GO:0033692,GO:0010145,
GO:0010147	P	fructan catabolic process		GO:1902927,	GO:0044247,GO:0010145,
GO:0010148	P	transpiration			GO:0006833,
GO:0010149	P	obsolete senescence			
GO:0010150	P	leaf senescence			GO:0090693,
GO:0010151	P	chloroplast elongation			GO:0009658,
GO:0010152	P	pollen maturation			GO:0021700,
GO:0010153	P	obsolete polar cell elongation			
GO:0010154	P	fruit development			GO:0048608,
GO:0010155	P	regulation of proton transport		GO:1905271,GO:0032415,GO:1904959,GO:0010849,GO:1905706,GO:2000275,GO:1901546,GO:1904451,	GO:1904062,
GO:0010156	P	obsolete sporocyte morphogenesis			
GO:0010157	P	response to chlorate		GO:0071246,	GO:1901700,GO:0001101,GO:0010035,
GO:0010158	P	abaxial cell fate specification			GO:0001708,
GO:0010159	P	specification of animal organ position			GO:0003002,
GO:0010160	P	formation of animal organ boundary		GO:0007432,GO:0008052,	GO:0003002,GO:0048859,
GO:0010161	P	red light signaling pathway			GO:0010017,GO:0071491,
GO:0010162	P	seed dormancy process		GO:0048838,GO:0010231,	GO:0003006,GO:0022611,GO:0048609,GO:0032501,
GO:0010164	P	response to cesium ion		GO:0071278,	GO:0010038,
GO:0010165	P	response to X-ray	apaH,appY,betB,cmk,cysB,cysE,ddlA,eutK,intF,lon,mrcB,recJ,yadG,yagJ,ybaK,yebG,	GO:0071481,	GO:0010212,
GO:0010166	P	wax metabolic process		GO:0010025,	GO:1901568,
GO:0010167	P	response to nitrate	narQ,narX,	GO:0071249,	GO:1901700,GO:1901698,GO:0001101,GO:0010035,
GO:0010171	P	body morphogenesis		GO:0040032,GO:0010172,	GO:0009653,
GO:0010172	P	embryonic body morphogenesis			GO:0010171,GO:0048598,
GO:0010182	P	sugar mediated signaling pathway		GO:0009745,GO:0009757,	GO:0009756,
GO:0010183	P	pollen tube guidance			GO:0022414,GO:0050918,
GO:0010184	P	cytokinin transport			GO:0009914,
GO:0010185	P	regulation of cellular defense response		GO:0010186,GO:0051245,	GO:0031347,
GO:0010186	P	positive regulation of cellular defense response			GO:0010185,GO:0031349,
GO:0010187	P	negative regulation of seed germination			GO:0048581,GO:0010029,
GO:0010188	P	response to microbial phytotoxin			GO:0009636,
GO:0010189	P	vitamin E biosynthetic process			GO:1901617,GO:0018130,GO:0042362,GO:1901362,GO:0042360,
GO:0010190	P	cytochrome b6f complex assembly			GO:0017004,
GO:0010191	P	mucilage metabolic process		GO:0048361,GO:0010192,GO:0048362,GO:0048359,GO:0048360,	GO:0044237,
GO:0010192	P	mucilage biosynthetic process		GO:0048356,GO:0048355,GO:0048357,GO:0048354,	GO:0010191,GO:0044249,
GO:0010193	P	response to ozone		GO:0071457,	GO:0046677,GO:0042493,GO:0001101,GO:0010035,GO:0000302,
GO:0010194	P	obsolete microRNA metabolic process			
GO:0010195	P	obsolete microRNA biosynthetic process			
GO:0010196	P	nonphotochemical quenching			GO:1990066,
GO:0010197	P	polar nucleus fusion			GO:0000741,
GO:0010198	P	synergid death			GO:0003006,GO:0010623,
GO:0010199	P	organ boundary specification between lateral organs and the meristem			GO:0090691,
GO:0010200	P	response to chitin		GO:0071323,	GO:1901700,GO:0042493,GO:0010243,
GO:0010201	P	response to continuous far red light stimulus by the high-irradiance response system			GO:0010218,
GO:0010202	P	response to low fluence red light stimulus			GO:0010114,GO:0009645,
GO:0010203	P	response to very low fluence red light stimulus			GO:0055122,GO:0010114,
GO:0010204	P	defense response signaling pathway, resistance gene-independent			GO:0007165,GO:0002218,
GO:0010205	P	photoinhibition			GO:0009644,GO:0043155,
GO:0010206	P	photosystem II repair			GO:0030091,
GO:0010207	P	photosystem II assembly		GO:0010270,	GO:0034622,
GO:0010208	P	pollen wall assembly		GO:0010584,	GO:0010927,GO:0085029,GO:0045229,
GO:0010212	P	response to ionizing radiation	abpB,apaH,appY,betB,cmk,cysB,cysE,ddlA,dnaB,eutK,ftsP,intF,lon,mrcB,priA,radD,recA,recJ,yabI,yadG,yafC,yagJ,ybaK,ybgI,ybjN,yebC,yebG,yhgF,	GO:0010165,GO:0071479,GO:0010332,	GO:0009314,
GO:0010213	P	non-photoreactive DNA repair			GO:0006281,
GO:0010214	P	seed coat development			GO:0003006,GO:0048856,
GO:0010215	P	cellulose microfibril organization			GO:0030198,
GO:0010216	P	maintenance of DNA methylation			GO:0006259,
GO:0010217	P	cellular aluminum ion homeostasis			GO:0055079,GO:0006875,
GO:0010218	P	response to far red light		GO:0071490,GO:0010201,	GO:0009639,
GO:0010219	P	regulation of vernalization response		GO:0010220,GO:0010221,	GO:0080134,
GO:0010220	P	positive regulation of vernalization response			GO:0010219,GO:0048584,
GO:0010221	P	negative regulation of vernalization response			GO:0048585,GO:0010219,
GO:0010222	P	stem vascular tissue pattern formation			GO:0010051,
GO:0010223	P	secondary shoot formation			GO:0010346,GO:0001763,
GO:0010224	P	response to UV-B		GO:0071493,	GO:0009411,
GO:0010225	P	response to UV-C		GO:0071494,	GO:0009411,
GO:0010226	P	response to lithium ion	nhaB,	GO:0071285,	GO:0010038,
GO:0010227	P	floral organ abscission			GO:0003006,GO:0009838,
GO:0010228	P	vegetative to reproductive phase transition of meristem			GO:0003006,
GO:0010229	P	inflorescence development			GO:0090567,
GO:0010230	P	alternative respiration			GO:0009060,
GO:0010231	P	maintenance of seed dormancy		GO:0098755,	GO:0097437,GO:0010162,
GO:0010232	P	vascular transport		GO:0010233,	GO:0006810,GO:0032501,
GO:0010233	P	phloem transport		GO:0090449,GO:1990388,GO:0009915,GO:0090408,	GO:0010232,
GO:0010234	P	anther wall tapetum cell fate specification			GO:0003006,GO:0001708,
GO:0010235	P	guard mother cell cytokinesis			GO:0000911,
GO:0010236	P	plastoquinone biosynthetic process			GO:1901663,
GO:0010238	P	response to proline		GO:0071235,	GO:0043200,GO:0014070,
GO:0010239	P	chloroplast mRNA processing			GO:0006397,GO:0031425,
GO:0010241	P	ent-kaurene oxidation to kaurenoic acid			GO:0033331,GO:0055114,
GO:0010243	P	response to organonitrogen compound	asnC,decR,lrp,npr,ptsN,ptsP,rcnB,tolA,tolB,tsr,yaiW,ybaO,yhaM,yhaO,yjeH,yjjB,	GO:0036272,GO:1901597,GO:1901556,GO:0097333,GO:0036503,GO:0034516,GO:0051593,GO:0010266,GO:0097330,GO:0014075,GO:1990054,GO:1904558,GO:1904391,GO:0097335,GO:0055094,GO:1905439,GO:1901652,GO:0097338,GO:0072726,GO:0032494,GO:0061959,GO:0043200,GO:1905119,GO:0072724,GO:1905441,GO:0010200,GO:0034776,GO:0071417,GO:0033590,GO:0071680,GO:1901594,GO:0080026,GO:0072739,GO:1904307,GO:1901561,GO:1903956,GO:1901355,GO:0072722,GO:1904560,GO:0043279,GO:0071867,GO:0046898,GO:0070781,GO:0097334,GO:1904316,GO:0035983,GO:0097331,GO:0014074,GO:1901559,GO:1902349,GO:0036274,GO:0036253,GO:1901986,GO:1905834,GO:0097337,GO:1901325,GO:0031427,GO:1904587,GO:1901554,GO:1901558,GO:1901328,GO:1904481,GO:1904402,GO:1903493,GO:0097336,GO:1903937,GO:1902518,GO:1905307,GO:1904386,GO:1904585,GO:1904583,GO:1904804,GO:1901322,GO:0071503,GO:1902351,GO:0072712,GO:0033274,GO:0036288,GO:1904101,	GO:1901698,GO:0010033,
GO:0010244	P	response to low fluence blue light stimulus by blue low-fluence system			GO:0009637,GO:0009645,
GO:0010245	P	radial microtubular system formation			GO:0000226,
GO:0010246	P	rhamnogalacturonan I biosynthetic process			GO:0010395,GO:0000271,
GO:0010247	P	detection of phosphate ion			GO:0009593,
GO:0010248	P	establishment or maintenance of transmembrane electrochemical gradient			GO:0034220,
GO:0010249	P	auxin conjugate metabolic process			GO:0009850,
GO:0010250	P	S-methylmethionine biosynthetic process			GO:0042398,GO:0033477,GO:0044272,
GO:0010252	P	auxin homeostasis			GO:0048878,
GO:0010253	P	UDP-rhamnose biosynthetic process			GO:0009226,GO:0033478,
GO:0010254	P	nectary development			GO:0003006,GO:0048856,
GO:0010255	P	glucose mediated signaling pathway			GO:0009757,
GO:0010256	P	endomembrane system organization			GO:0016043,
GO:0010257	P	NADH dehydrogenase complex assembly		GO:0032981,GO:0010258,	GO:0034622,
GO:0010258	P	NADH dehydrogenase complex (plastoquinone) assembly			GO:0010257,
GO:0010259	P	multicellular organism aging		GO:1990636,	GO:0007275,GO:0007568,
GO:0010260	P	animal organ senescence			GO:0007568,
GO:0010262	P	somatic embryogenesis			GO:0009793,
GO:0010263	P	tricyclic triterpenoid biosynthetic process			GO:0016104,GO:1901362,GO:0010683,
GO:0010264	P	myo-inositol hexakisphosphate biosynthetic process		GO:0033545,GO:0033548,	GO:0033517,GO:0032958,
GO:0010265	P	SCF complex assembly			GO:0065003,
GO:0010266	P	response to vitamin B1		GO:0071301,	GO:0042493,GO:0014070,GO:0010243,GO:0033273,
GO:0010267	P	production of ta-siRNAs involved in RNA interference			GO:0030422,
GO:0010268	P	brassinosteroid homeostasis			GO:0055088,
GO:0010269	P	response to selenium ion	sodA,	GO:0071291,	GO:0010035,
GO:0010270	P	photosystem II oxygen evolving complex assembly			GO:0010207,
GO:0010271	P	regulation of chlorophyll catabolic process		GO:1903647,GO:1903648,	GO:1901404,GO:0090056,
GO:0010272	P	response to silver ion	copA,cusA,cusB,cusC,cusF,cusS,	GO:0071292,	GO:0010038,
GO:0010273	P	detoxification of copper ion	copA,cueO,cusA,cusB,cusC,cusF,	GO:1990880,	GO:0061687,
GO:0010274	P	hydrotropism			GO:0009606,
GO:0010275	P	NAD(P)H dehydrogenase complex assembly			GO:0034622,
GO:0010286	P	heat acclimation		GO:0070370,	GO:0009408,
GO:0010288	P	response to lead ion	zraS,	GO:0071284,	GO:0010038,
GO:0010289	P	homogalacturonan biosynthetic process			GO:0052325,GO:0010394,
GO:0010299	P	detoxification of cobalt ion			GO:0061687,
GO:0010304	P	PSII associated light-harvesting complex II catabolic process			GO:0044257,
GO:0010305	P	leaf vascular tissue pattern formation			GO:0010051,
GO:0010306	P	rhamnogalacturonan II biosynthetic process			GO:0052325,GO:0010396,
GO:0010310	P	regulation of hydrogen peroxide metabolic process		GO:2000295,GO:0010728,GO:0010727,GO:0010726,	GO:0051193,GO:2000377,
GO:0010311	P	lateral root formation			GO:1905393,GO:0009791,
GO:0010312	P	detoxification of zinc ion	zntA,		GO:0098754,
GO:0010315	P	auxin efflux			GO:0010928,GO:0060918,
GO:0010321	P	regulation of vegetative phase change			GO:0048580,
GO:0010322	P	regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway		GO:0010323,	GO:0010565,GO:0019747,GO:0071071,GO:0010675,
GO:0010323	P	negative regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway			GO:0071072,GO:0045827,GO:0010322,GO:0062014,GO:0010677,
GO:0010324	P	membrane invagination		GO:0099024,GO:1902535,GO:0061736,	GO:0061024,
GO:0010325	P	raffinose family oligosaccharide biosynthetic process		GO:0033536,GO:0033534,GO:0033529,GO:0033532,	GO:0009312,
GO:0010332	P	response to gamma radiation	priA,	GO:0071480,	GO:0010212,
GO:0010335	P	response to non-ionic osmotic stress		GO:0071471,	GO:0006970,
GO:0010336	P	gibberellic acid homeostasis			GO:0055081,GO:0055088,
GO:0010337	P	regulation of salicylic acid metabolic process		GO:0080142,	GO:0010565,GO:0032350,
GO:0010338	P	leaf formation			GO:1905393,GO:0099402,
GO:0010342	P	endosperm cellularization			GO:0007349,
GO:0010343	P	singlet oxygen-mediated programmed cell death			GO:0097468,
GO:0010344	P	seed oilbody biogenesis			GO:0044085,GO:0022414,
GO:0010345	P	suberin biosynthetic process			GO:0009699,
GO:0010346	P	shoot axis formation		GO:0010223,	GO:1905393,
GO:0010350	P	cellular response to magnesium starvation	iraM,phoQ,		GO:0009267,
GO:0010351	P	lithium ion transport		GO:0010352,GO:0090452,	GO:0015672,GO:0030001,
GO:0010352	P	lithium ion export across the plasma membrane			GO:0140115,GO:0010351,GO:0098662,
GO:0010353	P	response to trehalose		GO:0071327,	GO:0034285,
GO:0010358	P	leaf shaping			GO:0048532,
GO:0010359	P	regulation of anion channel activity		GO:1902938,GO:0010361,GO:1902941,GO:1901529,GO:0010360,	GO:0032412,GO:1903959,
GO:0010360	P	negative regulation of anion channel activity		GO:0010362,GO:1902942,GO:1902939,	GO:0010359,GO:0032413,GO:1903960,
GO:0010361	P	regulation of anion channel activity by blue light		GO:0010362,	GO:0010359,
GO:0010362	P	negative regulation of anion channel activity by blue light			GO:0010361,GO:0010360,
GO:0010363	P	regulation of plant-type hypersensitive response		GO:0034051,GO:0034052,	GO:0043067,GO:0080135,GO:0045088,
GO:0010364	P	regulation of ethylene biosynthetic process		GO:0010365,GO:0010366,	GO:1900911,GO:0046885,GO:0031335,
GO:0010365	P	positive regulation of ethylene biosynthetic process			GO:0010364,GO:0031337,GO:0046886,GO:1900913,
GO:0010366	P	negative regulation of ethylene biosynthetic process			GO:0010364,GO:0032353,GO:1900912,GO:0031336,
GO:0010371	P	regulation of gibberellin biosynthetic process		GO:0010372,GO:0010373,	GO:0010565,GO:0046885,GO:0043455,GO:0019747,GO:0046890,
GO:0010372	P	positive regulation of gibberellin biosynthetic process			GO:0046886,GO:0045828,GO:0010371,GO:0062013,GO:0046889,
GO:0010373	P	negative regulation of gibberellin biosynthetic process			GO:0051055,GO:0045827,GO:0032353,GO:0062014,GO:0010371,
GO:0010374	P	stomatal complex development			GO:0009791,GO:0090558,
GO:0010375	P	stomatal complex patterning			GO:0003002,
GO:0010376	P	stomatal complex formation			GO:0048646,
GO:0010377	P	guard cell fate commitment			GO:0045165,
GO:0010378	P	temperature compensation of the circadian clock			GO:0042752,GO:0009266,
GO:0010379	P	phaseic acid biosynthetic process			GO:0043289,GO:0016106,GO:0072330,
GO:0010380	P	regulation of chlorophyll biosynthetic process		GO:1902325,GO:1902326,	GO:1901463,GO:0090056,
GO:0010381	P	peroxisome-chloroplast membrane tethering			GO:0140056,
GO:0010383	P	cell wall polysaccharide metabolic process		GO:0044347,GO:0006037,GO:0071966,GO:0070592,GO:0070135,GO:0010410,GO:0034406,GO:0052541,	GO:0044036,GO:0005976,
GO:0010384	P	cell wall proteoglycan metabolic process		GO:0010404,	GO:0006029,GO:0044036,
GO:0010387	P	COP9 signalosome assembly			GO:0034622,
GO:0010389	P	regulation of G2/M transition of mitotic cell cycle		GO:0031660,GO:0010971,GO:1902504,GO:0010972,	GO:1901990,GO:1902749,
GO:0010390	P	histone monoubiquitination		GO:0035518,	GO:0016574,GO:0006513,
GO:0010391	P	glucomannan metabolic process		GO:2000884,	GO:0017144,GO:0006080,
GO:0010392	P	galactoglucomannan metabolic process		GO:2000885,	GO:0006080,
GO:0010393	P	galacturonan metabolic process		GO:0045488,GO:0010396,GO:0010398,GO:0010394,	GO:0005976,
GO:0010394	P	homogalacturonan metabolic process		GO:0033393,GO:0010418,GO:0010289,	GO:0010393,
GO:0010395	P	rhamnogalacturonan I metabolic process		GO:0010399,GO:0010400,GO:0010246,	GO:0052546,GO:0044264,GO:0044036,
GO:0010396	P	rhamnogalacturonan II metabolic process		GO:0010419,GO:0010418,GO:0010306,	GO:0010393,
GO:0010397	P	apiogalacturonan metabolic process			GO:0005976,
GO:0010398	P	xylogalacturonan metabolic process			GO:0010393,
GO:0010399	P	rhamnogalacturonan I backbone metabolic process			GO:0010395,
GO:0010400	P	rhamnogalacturonan I side chain metabolic process		GO:0010403,GO:0010401,GO:0010402,	GO:0010395,
GO:0010401	P	pectic galactan metabolic process			GO:0010400,
GO:0010402	P	pectic arabinan metabolic process			GO:0010400,
GO:0010403	P	pectic arabinogalactan I metabolic process			GO:0010400,
GO:0010404	P	cell wall hydroxyproline-rich glycoprotein metabolic process		GO:0010409,GO:0010405,	GO:0010384,
GO:0010405	P	arabinogalactan protein metabolic process		GO:0010408,GO:0010407,GO:0010406,	GO:0010404,
GO:0010406	P	classical arabinogalactan protein metabolic process			GO:0010405,
GO:0010407	P	non-classical arabinogalactan protein metabolic process			GO:0010405,
GO:0010408	P	fasciclin-like arabinogalactan protein metabolic process			GO:0010405,
GO:0010409	P	extensin metabolic process			GO:0010404,
GO:0010410	P	hemicellulose metabolic process		GO:0010411,GO:0045491,GO:2000895,	GO:0010383,
GO:0010411	P	xyloglucan metabolic process		GO:0009969,GO:2000899,	GO:0006073,GO:0010410,
GO:0010412	P	mannan metabolic process		GO:0046355,GO:0070135,GO:0046354,GO:0010415,	GO:0044264,GO:0044036,
GO:0010413	P	glucuronoxylan metabolic process		GO:0010414,GO:2000886,GO:0010417,	GO:0045491,
GO:0010414	P	glucuronoarabinoxylan metabolic process		GO:2000887,	GO:0010413,GO:0010416,
GO:0010415	P	unsubstituted mannan metabolic process			GO:0010412,
GO:0010416	P	arabinoxylan-containing compound metabolic process		GO:0010414,GO:2000888,	GO:0045491,
GO:0010417	P	glucuronoxylan biosynthetic process			GO:0010413,GO:0045492,
GO:0010418	P	rhamnogalacturonan II backbone metabolic process			GO:0010396,GO:0010394,
GO:0010419	P	rhamnogalacturonan II side chain metabolic process			GO:0010396,
GO:0010421	P	hydrogen peroxide-mediated programmed cell death			GO:0097468,GO:0036474,
GO:0010422	P	regulation of brassinosteroid biosynthetic process		GO:2000488,GO:0010423,	GO:0090030,
GO:0010423	P	negative regulation of brassinosteroid biosynthetic process			GO:0090032,GO:0010422,
GO:0010424	P	DNA methylation on cytosine within a CG sequence			GO:0032776,
GO:0010425	P	DNA methylation on cytosine within a CNG sequence			GO:0032776,
GO:0010426	P	DNA methylation on cytosine within a CHH sequence			GO:0032776,
GO:0010430	P	fatty acid omega-oxidation			GO:0019395,
GO:0010431	P	seed maturation			GO:0003006,GO:0048609,GO:0071695,
GO:0010432	P	bract development			GO:0048827,
GO:0010433	P	bract morphogenesis			GO:1905392,
GO:0010434	P	bract formation			GO:1905393,
GO:0010438	P	cellular response to sulfur starvation	dcyD,rhsD,tauB,tauC,		GO:0009267,
GO:0010439	P	regulation of glucosinolate biosynthetic process			GO:1900376,GO:0051171,GO:0043255,GO:0062012,GO:0042762,GO:0031326,GO:0010675,
GO:0010440	P	stomatal lineage progression			GO:0048869,
GO:0010441	P	guard cell development			GO:0048468,
GO:0010442	P	guard cell morphogenesis			GO:0090698,GO:0000904,
GO:0010443	P	meristemoid mother cell division			GO:0000911,
GO:0010444	P	guard mother cell differentiation			GO:0090627,
GO:0010446	P	response to alkaline pH		GO:0071469,	GO:0009268,
GO:0010447	P	response to acidic pH	cadB,clcA,clcB,evgS,frc,glsA,hchA,hdeA,hdeB,iraM,mgrB,oxc,sodA,yagU,yceO,ydeP,ygiN,yhcN,yjaA,yodD,yqgB,	GO:0071468,	GO:0009268,
GO:0010448	P	vegetative meristem growth			GO:0080186,GO:0035266,
GO:0010449	P	root meristem growth			GO:0035266,
GO:0010450	P	inflorescence meristem growth			GO:0035266,GO:0003006,
GO:0010451	P	floral meristem growth			GO:0035266,GO:0003006,
GO:0010452	P	histone H3-K36 methylation		GO:0097198,GO:0097676,	GO:0034968,
GO:0010453	P	regulation of cell fate commitment		GO:1900032,GO:0010454,GO:0060222,GO:0031494,GO:2000328,GO:1901295,GO:0010455,GO:1905933,GO:0045501,GO:0042659,GO:0060224,GO:2000787,	GO:0045595,
GO:0010454	P	negative regulation of cell fate commitment		GO:2000248,GO:2000329,GO:0060226,GO:0022001,GO:1900033,GO:1901296,GO:2000788,GO:1905934,GO:0009996,GO:0045873,GO:0031495,	GO:0010453,GO:0045596,
GO:0010455	P	positive regulation of cell fate commitment		GO:0042660,GO:1901297,GO:0045874,GO:2000330,GO:0031496,GO:1905935,GO:2000789,GO:0060225,	GO:0010453,GO:0045597,
GO:0010456	P	cell proliferation in dorsal spinal cord			GO:0061351,
GO:0010457	P	centriole-centriole cohesion			GO:0022402,
GO:0010458	P	exit from mitosis			GO:0044772,
GO:0010459	P	negative regulation of heart rate		GO:0044555,GO:0001985,GO:0003063,	GO:0045822,GO:0002027,
GO:0010460	P	positive regulation of heart rate		GO:0001996,GO:0003066,GO:0001988,GO:0003065,	GO:0045823,GO:0002027,
GO:0010462	P	regulation of light-activated voltage-gated calcium channel activity			GO:0050848,GO:1901385,GO:0016061,
GO:0010463	P	mesenchymal cell proliferation		GO:0072198,GO:0072137,GO:0072135,GO:0072138,GO:0090094,GO:0060916,GO:0060781,	GO:0008283,
GO:0010464	P	regulation of mesenchymal cell proliferation		GO:0072199,GO:2000790,GO:0090095,GO:0072201,GO:0002053,GO:0060782,	GO:0042127,
GO:0010466	P	negative regulation of peptidase activity	eco,yfhM,	GO:2000157,GO:0035940,GO:1905049,GO:1905246,GO:1902572,GO:0010951,	GO:0045861,GO:0052547,GO:0051346,
GO:0010467	P	gene expression		GO:0140053,GO:0002330,GO:1901148,	GO:0043170,
