# From get_uniq_lowest_levels_v2.pl on Tue Apr 21 11:50:01 2020
# Input = all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0044262	4	63	aceA,aceB,aceK,acnA,acnB,alsE,alsK,araB,dgoA,dgoD,dgoK,edd,frlD,fruK,fucK,galK,galT,ghrB,glcB,gnd,gntK,gntP,gntR,gntT,gpmM,gsk,hldE,icd,iclR,idnD,idnK,idnO,idnT,kdgK,lgoD,lgoR,lyxK,mak,malS,malZ,nagK,nanK,pfkA,pfkB,phnN,psuK,rbsK,rhaB,rpe,sgcE,suhB,uidA,waaP,waaY,xylB,yagE,yagF,ydjH,yegX,yeiI,yihV,yjhG,yjhH,	cellular carbohydrate metabolic process
GO:0006020	5	1	suhB,	inositol metabolic process
GO:0006097	5	8	aceA,aceB,aceK,acnA,acnB,glcB,icd,iclR,	glyoxylate cycle
GO:0046835	5	27	alsK,araB,dgoK,frlD,fruK,fucK,galK,galT,gsk,hldE,kdgK,lyxK,mak,nagK,nanK,pfkA,pfkB,phnN,psuK,rbsK,rhaB,waaP,waaY,xylB,ydjH,yeiI,yihV,	carbohydrate phosphorylation
GO:0044275	5	25	dgoA,dgoD,dgoK,edd,ghrB,gnd,gntK,gntP,gntR,gntT,idnD,idnK,idnO,idnT,lgoD,lgoR,malS,malZ,pfkA,uidA,yagE,yagF,yegX,yjhG,yjhH,	cellular carbohydrate catabolic process
GO:0019391	6	1	uidA,	glucuronoside catabolic process
GO:0046176	6	20	dgoA,dgoD,dgoK,edd,ghrB,gnd,gntK,gntP,gntR,gntT,idnD,idnK,idnO,idnT,lgoD,lgoR,yagE,yagF,yjhG,yjhH,	aldonic acid catabolic process
GO:0019584	7	5	dgoA,dgoD,dgoK,lgoD,lgoR,	galactonate catabolic process
GO:0034194	8	3	dgoA,dgoD,dgoK,	D-galactonate catabolic process
GO:0034195	8	1	lgoD,	L-galactonate catabolic process
GO:0046177	7	7	edd,gnd,gntK,gntP,gntR,gntT,idnK,	D-gluconate catabolic process
GO:0046183	7	4	idnD,idnK,idnO,idnT,	L-idonate catabolic process
GO:0046181	7	1	ghrB,	ketogluconate catabolic process
GO:0016052	5	91	aceE,aceF,alsE,araA,araB,araC,araD,ascB,bcsZ,bglA,bglB,bglX,chbG,chiA,cra,deoC,dgoA,dgoD,dgoK,dhaK,edd,eno,fbaA,fbaB,fucA,fucI,fucK,gapA,ghrB,glgP,glgX,glk,gnd,gntK,gntP,gntR,gntT,gpmA,gpmM,idnD,idnK,idnO,idnT,kdgK,kduD,kduI,lgoD,lgoR,lpd,malP,malS,malZ,mdh,mngB,otnC,pfkA,pfkB,pgi,pgk,pykA,pykF,rbsD,rbsK,rhaD,rpe,sgbE,sgbH,sgcE,sucA,tpiA,treC,uidA,ulaD,ulaE,ulaF,ulaG,uxaA,uxaB,uxaC,uxuA,uxuB,xylA,xylB,yagE,yagF,yagH,yegX,yidR,yjhG,yjhH,ytjC,	carbohydrate catabolic process
GO:0006096	5	21	aceE,aceF,cra,eno,fbaA,fbaB,gapA,glk,gpmA,gpmM,lpd,mdh,pfkA,pfkB,pgi,pgk,pykA,pykF,sucA,tpiA,ytjC,	glycolytic process
GO:0061615	6	1	pfkB,	glycolytic process through fructose-6-phosphate
GO:0000272	6	11	bcsZ,bglX,chbG,chiA,glgP,glgX,kduI,malP,malS,malZ,yagH,	polysaccharide catabolic process
GO:0009251	7	6	bglX,glgP,glgX,malP,malS,malZ,	glucan catabolic process
GO:0005980	8	3	glgP,glgX,malP,	glycogen catabolic process
GO:0030980	8	3	malP,malS,malZ,	alpha-glucan catabolic process
GO:0045490	7	1	kduI,	pectin catabolic process
GO:0046365	6	32	alsE,araA,araB,araC,araD,dhaK,fucA,fucI,fucK,kdgK,kduD,kduI,otnC,rbsD,rbsK,rhaD,rpe,sgbE,sgbH,sgcE,ulaD,ulaE,ulaF,ulaG,uxaA,uxaB,uxaC,uxuA,uxuB,xylA,xylB,yidR,	monosaccharide catabolic process
GO:0019854	7	5	sgbH,ulaD,ulaE,ulaF,ulaG,	L-ascorbic acid catabolic process
GO:0019323	7	18	alsE,araA,araB,araC,araD,fucA,fucI,fucK,otnC,rbsD,rbsK,rhaD,rpe,sgbE,sgcE,ulaF,xylA,xylB,	pentose catabolic process
GO:0019568	8	8	araA,araB,araC,araD,fucA,fucI,fucK,sgbE,	arabinose catabolic process
GO:0019571	9	3	fucA,fucI,fucK,	D-arabinose catabolic process
GO:0019572	9	4	araA,araB,araD,sgbE,	L-arabinose catabolic process
GO:0019569	10	3	araA,araB,araD,	L-arabinose catabolic process to xylulose 5-phosphate
GO:0042843	8	2	xylA,xylB,	D-xylose catabolic process
GO:0019303	8	2	rbsD,rbsK,	D-ribose catabolic process
GO:0005998	8	1	xylB,	xylulose catabolic process
GO:0006064	7	6	kdgK,kduD,kduI,uxaC,uxuA,uxuB,	glucuronate catabolic process
GO:0042840	8	6	kdgK,kduD,kduI,uxaC,uxuA,uxuB,	D-glucuronate catabolic process
GO:0046397	7	7	kdgK,kduD,kduI,uxaA,uxaB,uxaC,yidR,	galacturonate catabolic process
GO:0019698	8	6	kdgK,kduD,kduI,uxaA,uxaB,uxaC,	D-galacturonate catabolic process
GO:0005996	5	87	aceK,agp,aldA,alsE,araA,araB,araC,araD,dhaK,dkgA,dkgB,epd,fbaA,fbp,fruK,fsaA,fsaB,fucA,fucI,fucK,fucO,fucP,fucR,fucU,galE,galK,galM,galR,galT,galU,gapA,gcd,glpX,gpmA,gpmM,kdgK,kduD,kduI,lldD,maeA,manA,mngB,otnC,pck,pfkA,pflA,pflB,pflC,pgi,pgk,pgl,pgm,ppsA,rbsD,rbsK,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rpe,sdaA,sdaB,sgbE,sgbH,sgbU,sgcE,tdcG,tpiA,ulaD,ulaE,ulaF,ulaG,uxaA,uxaB,uxaC,uxuA,uxuB,xylA,xylB,yggF,yidK,yidR,yihR,yphB,zwf,	monosaccharide metabolic process
GO:0019318	6	56	aceK,agp,aldA,epd,fbaA,fbp,fruK,fsaA,fsaB,fucA,fucI,fucK,fucO,fucP,fucR,fucU,galE,galK,galM,galR,galT,galU,gapA,gcd,glpX,gpmA,gpmM,lldD,maeA,manA,mngB,pck,pfkA,pflA,pflB,pflC,pgi,pgk,pgl,pgm,ppsA,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,sdaA,sdaB,tdcG,tpiA,yggF,yidK,yihR,yphB,zwf,	hexose metabolic process
GO:0006013	7	2	manA,mngB,	mannose metabolic process
GO:0019309	8	1	manA,	mannose catabolic process
GO:0006012	7	10	galE,galK,galM,galR,galT,galU,pgm,yidK,yihR,yphB,	galactose metabolic process
GO:0019388	8	8	galE,galK,galM,galT,galU,pgm,yihR,yphB,	galactose catabolic process
GO:0033499	9	7	galE,galK,galM,galT,galU,yihR,yphB,	galactose catabolic process via UDP-galactose
GO:0019299	7	9	aldA,fucK,fucO,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,	rhamnose metabolic process
GO:0019301	8	7	aldA,fucK,fucO,rhaA,rhaB,rhaD,rhaM,	rhamnose catabolic process
GO:0006004	7	9	aldA,fucA,fucI,fucK,fucO,fucP,fucR,fucU,lldD,	fucose metabolic process
GO:0042354	8	7	aldA,fucA,fucI,fucK,fucO,fucU,lldD,	L-fucose metabolic process
GO:0042355	9	6	aldA,fucA,fucI,fucK,fucO,lldD,	L-fucose catabolic process
GO:0019317	8	6	aldA,fucA,fucI,fucK,fucO,lldD,	fucose catabolic process
GO:0006006	7	30	aceK,agp,epd,fbaA,fbp,galM,gapA,gcd,glpX,gpmA,gpmM,maeA,pck,pfkA,pflA,pflB,pflC,pgi,pgk,pgl,pgm,ppsA,sdaA,sdaB,tdcG,tpiA,yggF,yihR,yphB,zwf,	glucose metabolic process
GO:0006094	8	14	fbaA,fbp,glpX,gpmA,maeA,pck,pgi,pgk,ppsA,sdaA,sdaB,tdcG,tpiA,yggF,	gluconeogenesis
GO:0006007	8	4	agp,gcd,gpmM,pfkA,	glucose catabolic process
GO:0019595	9	1	gcd,	non-phosphorylated glucose catabolic process
GO:0006000	7	4	fbp,fruK,fsaA,fsaB,	fructose metabolic process
GO:0006001	8	1	fruK,	fructose catabolic process
GO:0019852	6	8	dkgA,dkgB,sgbH,sgbU,ulaD,ulaE,ulaF,ulaG,	L-ascorbic acid metabolic process
GO:0019853	7	2	dkgA,dkgB,	L-ascorbic acid biosynthetic process
GO:0005976	5	22	arnB,bcsZ,bglX,chbG,chiA,cpsB,glgP,glgX,kduI,malP,malS,malZ,rffH,ugd,wcaJ,wecC,wecE,wza,wzb,wzc,yagH,yfdG,	polysaccharide metabolic process
GO:0006629	4	181	aas,accA,accB,accC,accD,acpH,acpP,acpS,acpT,ahr,ais,arnA,arnB,arnC,arnD,arnE,arnF,arnT,atoA,atoB,atoD,blc,cdh,cdsA,cfa,clsA,clsB,clsC,cpsB,cpsG,cysQ,dgkA,dxr,dxs,elbB,eptA,eptB,eptC,etk,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fepE,fixB,galF,glf,glmU,glpQ,gmhA,gmhB,gmm,gnsB,gpsA,gutQ,hdhA,hldE,idi,ispA,ispB,ispD,ispE,ispF,ispG,ispH,kdsA,kdsB,kdsC,kdsD,lapA,lapB,lipA,lipB,lplT,lpp,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,murG,opgB,oxc,paaF,paaG,paaH,paaJ,pagP,pgpA,pgpB,pgpC,pgsA,pldA,pldB,plsB,plsC,plsX,plsY,psd,pssA,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffG,rssA,scpB,suhB,tesA,tesB,ugd,ugpQ,uppS,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wzc,wzxC,wzzB,wzzE,yaeI,yajO,ybgC,yciA,ydiF,ydiR,yegS,yheT,yjjU,ynbA,ynjF,yqeF,	lipid metabolic process
GO:0044255	4	169	aas,accA,accB,accC,accD,acpH,acpP,acpS,acpT,ahr,ais,arnA,arnB,arnC,arnD,arnE,arnF,arnT,atoA,atoB,atoD,cdh,cdsA,cfa,clsA,clsB,clsC,cpsB,cpsG,cysQ,dgkA,dxr,dxs,eptA,eptB,eptC,etk,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fepE,fixB,galF,glf,glmU,gmhA,gmhB,gmm,gnsB,gpsA,gutQ,hldE,idi,ispA,ispD,ispE,ispF,ispG,ispH,kdsA,kdsB,kdsC,kdsD,lapA,lapB,lipA,lipB,lplT,lpp,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,murG,opgB,oxc,paaF,paaG,paaH,paaJ,pagP,pgpA,pgpB,pgpC,pgsA,pldA,plsB,plsC,plsX,plsY,psd,pssA,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffG,rssA,scpB,suhB,tesB,ugd,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wzc,wzxC,wzzB,wzzE,yaeI,yciA,ydiF,ydiR,yegS,yheT,ynbA,ynjF,yqeF,	cellular lipid metabolic process
GO:0030258	5	7	cfa,cysQ,lpp,murG,pgpA,suhB,yegS,	lipid modification
GO:0046839	6	1	pgpA,	phospholipid dephosphorylation
GO:0046834	6	3	cysQ,suhB,yegS,	lipid phosphorylation
GO:0046854	7	2	cysQ,suhB,	phosphatidylinositol phosphorylation
GO:0030259	6	1	murG,	lipid glycosylation
GO:0008653	5	75	ais,arnA,arnB,arnC,arnD,arnE,arnF,arnT,cpsB,cpsG,eptA,eptB,eptC,etk,fepE,galF,glf,glmU,gmhA,gmhB,gmm,gutQ,hldE,kdsA,kdsB,kdsC,kdsD,lapA,lapB,lpxL,lpxM,lpxP,lpxT,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffG,ugd,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wzc,wzxC,wzzB,wzzE,	lipopolysaccharide metabolic process
GO:0006631	5	50	aas,accA,accB,accC,accD,acpH,acpP,acpS,acpT,ahr,atoA,atoB,atoD,cfa,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fixB,gnsB,lipA,lipB,oxc,paaF,paaG,paaH,paaJ,plsB,plsX,scpB,tesB,yciA,ydiF,ydiR,yqeF,	fatty acid metabolic process
GO:0006633	6	22	accA,accB,accC,accD,acpH,acpP,acpS,acpT,cfa,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,gnsB,lipA,lipB,plsX,	fatty acid biosynthetic process
GO:0030497	7	2	fabG,fabI,	fatty acid elongation
GO:0009107	6	2	lipA,lipB,	lipoate biosynthetic process
GO:0042759	7	2	accA,accD,	long-chain fatty acid biosynthetic process
GO:0006636	7	1	gnsB,	unsaturated fatty acid biosynthetic process
GO:0001676	6	3	accA,accD,fadD,	long-chain fatty acid metabolic process
GO:0009062	6	19	atoB,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fixB,oxc,paaF,paaG,paaJ,scpB,tesB,ydiR,yqeF,	fatty acid catabolic process
GO:0006635	7	17	atoB,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fixB,paaF,paaG,paaJ,scpB,ydiR,yqeF,	fatty acid beta-oxidation
GO:0033539	8	3	fadE,fixB,ydiR,	fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0033542	8	2	fadH,fadI,	fatty acid beta-oxidation, unsaturated, even number
GO:0033543	9	1	fadH,	fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway
GO:0001561	7	1	oxc,	fatty acid alpha-oxidation
GO:0009106	5	2	lipA,lipB,	lipoate metabolic process
GO:0046459	6	3	atoA,atoD,ydiF,	short-chain fatty acid metabolic process
GO:0019395	6	19	atoB,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadM,fadR,fixB,oxc,paaF,paaG,paaJ,scpB,ydiR,yqeF,	fatty acid oxidation
GO:0006644	5	59	aas,acpP,arnA,arnB,arnC,arnD,arnE,arnF,arnT,cdh,cdsA,clsA,clsB,clsC,dgkA,dxr,dxs,eptA,eptB,fabZ,fadD,glmU,gpsA,idi,ispA,ispD,ispE,ispF,ispG,ispH,lplT,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,pagP,pgpA,pgpB,pgpC,pgsA,pldA,plsB,plsC,plsX,plsY,psd,pssA,rssA,waaA,yaeI,yegS,ynbA,ynjF,	phospholipid metabolic process
GO:0006650	6	17	cdsA,clsA,clsB,clsC,dgkA,gpsA,lplT,pgpA,pgpB,pgpC,pgsA,pldA,plsB,plsC,psd,pssA,rssA,	glycerophospholipid metabolic process
GO:0046470	7	1	rssA,	phosphatidylcholine metabolic process
GO:0046474	6	14	cdsA,clsA,clsB,clsC,dgkA,gpsA,pgpA,pgpB,pgpC,pgsA,plsB,plsC,psd,pssA,	glycerophospholipid biosynthetic process
GO:0016024	7	3	cdsA,plsB,plsC,	CDP-diacylglycerol biosynthetic process
GO:0006654	7	2	dgkA,plsC,	phosphatidic acid biosynthetic process
GO:0006646	7	1	psd,	phosphatidylethanolamine biosynthetic process
GO:0006655	7	8	clsA,clsB,clsC,pgpA,pgpB,pgpC,pgsA,pssA,	phosphatidylglycerol biosynthetic process
GO:0032049	8	4	clsA,clsB,clsC,pssA,	cardiolipin biosynthetic process
GO:0046471	7	9	clsA,clsB,clsC,pgpA,pgpB,pgpC,pgsA,pldA,pssA,	phosphatidylglycerol metabolic process
GO:0008654	5	56	aas,acpP,arnA,arnB,arnC,arnD,arnE,arnF,arnT,cdh,cdsA,clsA,clsB,clsC,dgkA,dxr,dxs,eptA,eptB,fabZ,fadD,glmU,gpsA,idi,ispA,ispD,ispE,ispF,ispG,ispH,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,pagP,pgpA,pgpB,pgpC,pgsA,plsB,plsC,plsX,plsY,psd,pssA,waaA,yaeI,yegS,ynbA,ynjF,	phospholipid biosynthetic process
GO:0036108	6	2	arnC,arnD,	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process
GO:0036104	6	4	lpxL,lpxM,lpxP,waaA,	Kdo2-lipid A biosynthetic process
GO:0033384	6	1	ispA,	geranyl diphosphate biosynthetic process
GO:0045337	6	1	ispA,	farnesyl diphosphate biosynthetic process
GO:0009240	6	8	dxr,dxs,idi,ispD,ispE,ispF,ispG,ispH,	isopentenyl diphosphate biosynthetic process
GO:0019288	7	7	dxr,dxs,ispD,ispE,ispF,ispG,ispH,	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
GO:0051484	8	1	dxr,	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process
GO:0009245	6	24	acpP,arnA,arnB,arnC,arnD,arnE,arnF,arnT,eptA,eptB,fabZ,glmU,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxP,lpxT,pagP,waaA,yaeI,	lipid A biosynthetic process
GO:0050992	6	2	idi,ispH,	dimethylallyl diphosphate biosynthetic process
GO:0046493	6	24	acpP,arnA,arnB,arnC,arnD,arnE,arnF,arnT,eptA,eptB,fabZ,glmU,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxP,lpxT,pagP,waaA,yaeI,	lipid A metabolic process
GO:0009395	6	3	pgpA,pgpB,pgpC,	phospholipid catabolic process
GO:0008202	5	1	hdhA,	steroid metabolic process
GO:0016042	5	11	fadA,fadB,fadI,fadJ,hdhA,pgpA,pgpB,pgpC,pldA,rssA,yjjU,	lipid catabolic process
GO:0008610	5	136	aas,accA,accB,accC,accD,acpH,acpP,acpS,acpT,arnA,arnB,arnC,arnD,arnE,arnF,arnT,cdh,cdsA,cfa,clsA,clsB,clsC,cpsB,cpsG,dgkA,dxr,dxs,elbB,eptA,eptB,eptC,etk,fabA,fabB,fabD,fabF,fabG,fabH,fabI,fabR,fabZ,fadD,fepE,galF,glf,glmU,gmhA,gmhB,gmm,gnsB,gpsA,gutQ,hldE,idi,ispA,ispB,ispD,ispE,ispF,ispG,ispH,kdsA,kdsB,kdsC,kdsD,lipA,lipB,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,pagP,pgpA,pgpB,pgpC,pgsA,plsB,plsC,plsX,plsY,psd,pssA,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffG,ugd,uppS,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wzc,wzxC,wzzB,wzzE,yaeI,yajO,yegS,ynbA,ynjF,	lipid biosynthetic process
GO:0008299	5	15	arnC,arnD,dxr,dxs,elbB,idi,ispA,ispB,ispD,ispE,ispF,ispG,ispH,uppS,yajO,	isoprenoid biosynthetic process
GO:0016094	6	2	ispB,uppS,	polyprenol biosynthetic process
GO:1902767	6	1	yajO,	isoprenoid biosynthetic process via mevalonate
GO:0016114	6	10	arnC,arnD,dxr,dxs,ispA,ispD,ispE,ispF,ispG,ispH,	terpenoid biosynthetic process
GO:0006082	4	7	ackA,cynS,cynT,cynX,garK,glxK,tdcD,	organic acid metabolic process
GO:0031388	5	2	garK,glxK,	organic acid phosphorylation
GO:0009439	5	3	cynS,cynT,cynX,	cyanate metabolic process
GO:0009440	6	3	cynS,cynT,cynX,	cyanate catabolic process
GO:0018937	4	1	nemA,	nitroglycerin metabolic process
GO:0019674	3	1	nadK,	NAD metabolic process
GO:1901275	3	1	ttdA,	tartrate metabolic process
GO:0009058	3	247	aas,acpP,ahpC,alaA,alaC,arnA,arnB,arnC,arnD,arnE,arnF,arnT,aroF,aroG,aroH,aspC,avtA,bioA,bioB,bioC,bioD,bioD2,bioF,bioH,birA,btuR,cdh,cdsA,citC,citG,citX,clsA,clsB,clsC,coaA,coaD,coaE,cobC,cobS,cobT,cobU,cpsB,csdA,cvpA,cyaY,cyoE,cysC,cysD,cysG,cysH,cysI,cysJ,cysN,dcuA,dfp,dgkA,dkgA,dkgB,dxr,dxs,elbB,entA,entC,entE,entF,epd,eptA,eptB,erpA,eutT,fabG,fabI,fabZ,fadD,fau,fdhD,fdx,fliI,fmt,folA,folB,folC,folE,folK,folM,folP,fpr,galF,galU,ggt,glgC,glmU,gltX,gpsA,gshA,gshB,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,hisC,hldE,hscA,hypB,idi,iscA,iscS,iscU,iscX,ispA,ispB,ispD,ispE,ispF,ispG,ispH,kbl,kdsA,lipA,lipB,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,malY,menF,metF,metK,moaA,moaB,moaC,moaD,moaE,mobA,mobB,mocA,moeA,moeB,mog,mpl,mrp,murC,murD,murE,murF,nadA,nadB,nadC,nadD,nadE,nadR,napA,nfuA,nudB,pabA,pabB,pabC,pagP,panB,panC,panD,panE,panZ,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pgpA,pgpB,pgpC,pgsA,plsB,plsC,plsX,plsY,pncA,pncB,pncC,ppk,prs,psd,pssA,purC,purN,purU,rfbA,rffH,rffM,ribF,serC,sufA,sufB,sufC,sufD,sufE,sufS,thiC,thiD,thiE,thiF,thiG,thiH,thiI,thiK,thiL,thiM,thiS,trpD,trpE,tusA,tyrB,ubiX,uppS,waaA,xapA,yaeI,yajO,ybdL,ybdZ,ydcR,yddE,yegS,yfdG,ygfZ,yhfS,yjiR,ynbA,ynfK,ynjF,yqeC,ytfE,	biosynthetic process
GO:0044249	4	208	aas,acpP,ahpC,arnA,arnB,arnC,arnD,arnE,arnF,arnT,bioA,bioB,bioC,bioD,bioD2,bioF,bioH,birA,btuR,cdh,cdsA,citG,citX,clsA,clsB,clsC,coaA,coaD,coaE,cobC,cobS,cobT,cobU,csdA,cvpA,cyaY,cyoE,cysC,cysD,cysG,cysH,cysI,cysJ,cysN,dcuA,dfp,dgkA,dkgA,dkgB,dxr,dxs,elbB,entA,entE,epd,eptA,eptB,erpA,eutT,fabG,fabI,fabZ,fadD,fau,fdhD,fdx,folA,folB,folC,folE,folK,folM,folP,fpr,ggt,glmU,gltX,gpsA,gshA,gshB,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,hscA,hypB,idi,iscA,iscS,iscU,iscX,ispA,ispB,ispD,ispE,ispF,ispG,ispH,lipA,lipB,lpxA,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,metF,metK,moaA,moaB,moaC,moaD,moaE,mobA,mobB,mocA,moeA,moeB,mog,mrp,nadA,nadB,nadC,nadD,nadE,nadR,napA,nfuA,nudB,pabA,pabB,pabC,pagP,panB,panC,panD,panE,panZ,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pgpA,pgpB,pgpC,pgsA,plsB,plsC,plsX,plsY,pncA,pncB,pncC,ppk,prs,psd,pssA,purC,purU,ribF,serC,sufA,sufB,sufC,sufD,sufE,sufS,thiC,thiD,thiE,thiF,thiG,thiH,thiI,thiK,thiL,thiM,thiS,trpD,tusA,ubiX,uppS,waaA,xapA,yaeI,yajO,ybdZ,yegS,yfdG,ygfZ,ynbA,ynfK,ynjF,ytfE,	cellular biosynthetic process
GO:0009403	5	7	cvpA,cysC,cysD,cysH,cysI,cysJ,cysN,	toxin biosynthetic process
GO:0070814	6	6	cysC,cysD,cysH,cysI,cysJ,cysN,	hydrogen sulfide biosynthetic process
GO:0044271	5	25	btuR,cobC,cobS,cobT,cobU,cyoE,cysG,dcuA,eutT,gltX,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,purC,trpD,yfdG,	cellular nitrogen compound biosynthetic process
GO:0033014	6	23	btuR,cobC,cobS,cobT,cobU,cyoE,cysG,eutT,gltX,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,purC,yfdG,	tetrapyrrole biosynthetic process
GO:0006779	6	18	btuR,cobU,cyoE,cysG,gltX,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,yfdG,	porphyrin-containing compound biosynthetic process
GO:0006782	7	10	hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemL,hemN,hemW,	protoporphyrinogen IX biosynthetic process
GO:0019353	8	4	hemA,hemE,hemF,hemN,	protoporphyrinogen IX biosynthetic process from glutamate
GO:0006780	7	1	hemE,	uroporphyrinogen III biosynthetic process
GO:0006783	7	9	cyoE,cysG,hemB,hemC,hemE,hemF,hemG,hemH,yfdG,	heme biosynthetic process
GO:0019354	8	1	cysG,	siroheme biosynthetic process
GO:0048034	8	1	cyoE,	heme O biosynthetic process
GO:0009236	6	8	btuR,cobC,cobS,cobT,cobU,cysG,eutT,purC,	cobalamin biosynthetic process
GO:0019250	7	1	btuR,	aerobic cobalamin biosynthetic process
GO:0002047	6	1	trpD,	phenazine biosynthetic process
GO:0006799	5	1	ppk,	polyphosphate biosynthetic process
GO:0051188	5	138	ahpC,bioA,bioB,bioC,bioD,bioD2,bioF,bioH,birA,btuR,citG,citX,coaA,coaD,coaE,cobC,cobS,cobT,cobU,csdA,cyaY,cyoE,cysG,dfp,dkgA,dkgB,dxs,entA,entE,epd,erpA,eutT,fabG,fabI,fau,fdhD,fdx,folA,folB,folC,folE,folK,folM,folP,fpr,ggt,gltX,gshA,gshB,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hemW,hemY,hscA,hypB,iscA,iscS,iscU,iscX,lipA,lipB,metF,metK,moaA,moaB,moaC,moaD,moaE,mobA,mobB,mocA,moeA,moeB,mog,mrp,nadA,nadB,nadC,nadD,nadE,nadR,napA,nfuA,nudB,pabA,pabB,pabC,panB,panC,panD,panE,panZ,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pncA,pncB,pncC,purC,purU,ribF,serC,sufA,sufB,sufC,sufD,sufE,sufS,thiC,thiD,thiE,thiF,thiG,thiH,thiI,thiK,thiL,thiM,thiS,tusA,ubiX,xapA,ybdZ,yfdG,ygfZ,ynfK,ytfE,	cofactor biosynthetic process
