# From GOs_lib_files/regulons_in_gos_v5.pl on Mon Jun 15 17:12:05 2020
# Input = GUs_Regulon10.6.3_groups_complex_regulons/Regulon10.6.3_network_complex_regulons.txt
# GOs_lib_files/gene_gos.txt
# GOs_lib_files/go_uniq_levels_extended.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
CRP_ChbR_NagC	GO:0005976	5	6	1	0.17	polysaccharide metabolic process
CRP_ChbR_NagC	GO:0044237	3	6	1	0.17	cellular metabolic process
CRP_ChbR_NagC	GO:0006793	4	6	1	0.17	phosphorus metabolic process
CRP_ChbR_NagC	GO:0006796	5	6	1	0.17	phosphate-containing compound metabolic process
CRP_ChbR_NagC	GO:0016310	6	6	1	0.17	phosphorylation
CRP_ChbR_NagC	GO:0055114	3	6	1	0.17	oxidation-reduction process
CRP_ChbR_NagC	GO:0044238	3	6	2	0.33	primary metabolic process
CRP_CpxR_GlrR_IHF_NtrC_RcsB	GO:0050896	2	5	2	0.40	response to stimulus
CRP_CpxR_GlrR_IHF_NtrC_RcsB	GO:0006950	3	5	2	0.40	response to stress
CRP_CpxR_GlrR_IHF_NtrC_RcsB	GO:0006970	4	5	1	0.20	response to osmotic stress
CRP_CpxR_GlrR_IHF_NtrC_RcsB	GO:0006979	4	5	1	0.20	response to oxidative stress
CRP_Cra	GO:0008152	2	6	6	1.00	metabolic process
CRP_Cra	GO:0071704	3	6	5	0.83	organic substance metabolic process
CRP_Cra	GO:0005975	4	6	5	0.83	carbohydrate metabolic process
CRP_Cra	GO:0016052	5	6	3	0.50	carbohydrate catabolic process
CRP_Cra	GO:0006096	5	6	3	0.50	glycolytic process
CRP_Cra	GO:0005996	5	6	5	0.83	monosaccharide metabolic process
CRP_Cra	GO:0019318	6	6	5	0.83	hexose metabolic process
CRP_Cra	GO:0006006	7	6	5	0.83	glucose metabolic process
CRP_Cra	GO:0006094	8	6	3	0.50	gluconeogenesis
CRP_Cra	GO:0009058	3	6	2	0.33	biosynthetic process
CRP_Cra	GO:0044249	4	6	1	0.17	cellular biosynthetic process
CRP_Cra	GO:0051188	5	6	1	0.17	cofactor biosynthetic process
CRP_Cra	GO:0009108	6	6	1	0.17	coenzyme biosynthetic process
CRP_Cra	GO:0042823	7	6	1	0.17	pyridoxal phosphate biosynthetic process
CRP_Cra	GO:0008615	6	6	1	0.17	pyridoxine biosynthetic process
CRP_Cra	GO:0044237	3	6	4	0.67	cellular metabolic process
CRP_Cra	GO:0006793	4	6	3	0.50	phosphorus metabolic process
CRP_Cra	GO:0006796	5	6	3	0.50	phosphate-containing compound metabolic process
CRP_Cra	GO:0016310	6	6	1	0.17	phosphorylation
CRP_Cra	GO:0006753	6	6	3	0.50	nucleoside phosphate metabolic process
CRP_Cra	GO:0009132	7	6	3	0.50	nucleoside diphosphate metabolic process
CRP_Cra	GO:0006165	8	6	3	0.50	nucleoside diphosphate phosphorylation
CRP_Cra	GO:0006757	4	6	3	0.50	ATP generation from ADP
CRP_Cra	GO:0009117	7	6	3	0.50	nucleotide metabolic process
CRP_Cra	GO:0006725	4	6	3	0.50	cellular aromatic compound metabolic process
CRP_Cra	GO:0006139	4	6	3	0.50	nucleobase-containing compound metabolic process
CRP_Cra	GO:0055086	5	6	3	0.50	nucleobase-containing small molecule metabolic process
CRP_Cra	GO:0006091	4	6	3	0.50	generation of precursor metabolites and energy
CRP_Cra	GO:0055114	3	6	2	0.33	oxidation-reduction process
CRP_Cra	GO:0044238	3	6	5	0.83	primary metabolic process
CRP_Cra	GO:0046034	3	6	3	0.50	ATP metabolic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0008152	2	4	3	0.75	metabolic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0009058	3	4	1	0.25	biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0044249	4	4	1	0.25	cellular biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0044271	5	4	1	0.25	cellular nitrogen compound biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0033014	6	4	1	0.25	tetrapyrrole biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0006779	6	4	1	0.25	porphyrin-containing compound biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0006783	7	4	1	0.25	heme biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0019354	8	4	1	0.25	siroheme biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0009236	6	4	1	0.25	cobalamin biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0051188	5	4	1	0.25	cofactor biosynthetic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0032259	3	4	1	0.25	methylation
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0044237	3	4	1	0.25	cellular metabolic process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0055114	3	4	3	0.75	oxidation-reduction process
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0050896	2	4	1	0.25	response to stimulus
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0006950	3	4	1	0.25	response to stress
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	GO:0006970	4	4	1	0.25	response to osmotic stress
CRP_Cra_Fis	GO:0008152	2	4	2	0.50	metabolic process
CRP_Cra_Fis	GO:0044237	3	4	1	0.25	cellular metabolic process
CRP_Cra_Fis	GO:0006793	4	4	1	0.25	phosphorus metabolic process
CRP_Cra_Fis	GO:0006796	5	4	1	0.25	phosphate-containing compound metabolic process
CRP_Cra_Fis	GO:0016310	6	4	1	0.25	phosphorylation
CRP_Cra_Fis	GO:0055114	3	4	1	0.25	oxidation-reduction process
CRP_Cra_Mlc_NagC	GO:0008152	2	6	4	0.67	metabolic process
CRP_Cra_Mlc_NagC	GO:0044237	3	6	4	0.67	cellular metabolic process
CRP_Cra_Mlc_NagC	GO:0006793	4	6	4	0.67	phosphorus metabolic process
CRP_Cra_Mlc_NagC	GO:0006796	5	6	4	0.67	phosphate-containing compound metabolic process
CRP_Cra_Mlc_NagC	GO:0016310	6	6	4	0.67	phosphorylation
CRP_Cra_PrpR	GO:0008152	2	4	2	0.50	metabolic process
CRP_Cra_PrpR	GO:0071704	3	4	1	0.25	organic substance metabolic process
CRP_Cra_PrpR	GO:0005975	4	4	1	0.25	carbohydrate metabolic process
CRP_Cra_PrpR	GO:0044238	3	4	2	0.50	primary metabolic process
CRP_Cra_PrpR	GO:0006099	4	4	2	0.50	tricarboxylic acid cycle
CRP_CreB_Fis_MalT	GO:0050896	2	3	2	0.67	response to stimulus
CRP_CreB_Fis_MalT	GO:0006950	3	3	2	0.67	response to stress
CRP_CreB_Fis_MalT	GO:0033554	4	3	2	0.67	cellular response to stress
CRP_CreB_Fis_MalT	GO:0006974	5	3	2	0.67	cellular response to DNA damage stimulus
CRP_CytR	GO:0008152	2	2	1	0.50	metabolic process
CRP_CytR	GO:0044237	3	2	1	0.50	cellular metabolic process
CRP_CytR	GO:0006793	4	2	1	0.50	phosphorus metabolic process
CRP_CytR	GO:0006796	5	2	1	0.50	phosphate-containing compound metabolic process
CRP_CytR	GO:0006753	6	2	1	0.50	nucleoside phosphate metabolic process
CRP_CytR	GO:0009117	7	2	1	0.50	nucleotide metabolic process
CRP_CytR	GO:0006220	8	2	1	0.50	pyrimidine nucleotide metabolic process
CRP_CytR	GO:0006221	9	2	1	0.50	pyrimidine nucleotide biosynthetic process
CRP_CytR	GO:0009220	10	2	1	0.50	pyrimidine ribonucleotide biosynthetic process
CRP_CytR	GO:0006222	11	2	1	0.50	UMP biosynthetic process
CRP_CytR	GO:0044206	12	2	1	0.50	UMP salvage
CRP_CytR	GO:0009165	8	2	1	0.50	nucleotide biosynthetic process
CRP_CytR	GO:0009166	8	2	1	0.50	nucleotide catabolic process
CRP_CytR	GO:0006725	4	2	1	0.50	cellular aromatic compound metabolic process
CRP_CytR	GO:0006139	4	2	1	0.50	nucleobase-containing compound metabolic process
CRP_CytR	GO:0055086	5	2	1	0.50	nucleobase-containing small molecule metabolic process
CRP_CytR	GO:0034656	6	2	1	0.50	nucleobase-containing small molecule catabolic process
CRP_CytR	GO:0009164	7	2	1	0.50	nucleoside catabolic process
CRP_CytR	GO:0042454	8	2	1	0.50	ribonucleoside catabolic process
CRP_CytR	GO:0046133	9	2	1	0.50	pyrimidine ribonucleoside catabolic process
CRP_CytR	GO:0006218	10	2	1	0.50	uridine catabolic process
CRP_CytR	GO:0009116	6	2	1	0.50	nucleoside metabolic process
CRP_CytR	GO:0044238	3	2	1	0.50	primary metabolic process
CRP_CytR	GO:0050896	2	2	1	0.50	response to stimulus
CRP_CytR	GO:0006950	3	2	1	0.50	response to stress
CRP_CytR	GO:0033554	4	2	1	0.50	cellular response to stress
CRP_CytR	GO:0006974	5	2	1	0.50	cellular response to DNA damage stimulus
CRP_CytR_DeoR_Fis_ModE	GO:0008152	2	4	4	1.00	metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0071704	3	4	1	0.25	organic substance metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0005975	4	4	1	0.25	carbohydrate metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0016052	5	4	1	0.25	carbohydrate catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0044237	3	4	4	1.00	cellular metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006793	4	4	2	0.50	phosphorus metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006796	5	4	2	0.50	phosphate-containing compound metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006753	6	4	2	0.50	nucleoside phosphate metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0009117	7	4	2	0.50	nucleotide metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0009166	8	4	2	0.50	nucleotide catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0009264	9	4	2	0.50	deoxyribonucleotide catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0043094	4	4	1	0.25	cellular metabolic compound salvage
CRP_CytR_DeoR_Fis_ModE	GO:0006725	4	4	4	1.00	cellular aromatic compound metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006139	4	4	4	1.00	nucleobase-containing compound metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0055086	5	4	4	1.00	nucleobase-containing small molecule metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0034656	6	4	1	0.25	nucleobase-containing small molecule catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0009164	7	4	1	0.25	nucleoside catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006152	8	4	1	0.25	purine nucleoside catabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0015949	6	4	2	0.50	nucleobase-containing small molecule interconversion
CRP_CytR_DeoR_Fis_ModE	GO:0019686	7	4	1	0.25	purine nucleoside interconversion
CRP_CytR_DeoR_Fis_ModE	GO:0009116	6	4	2	0.50	nucleoside metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0006213	7	4	1	0.25	pyrimidine nucleoside metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0042278	7	4	1	0.25	purine nucleoside metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0044238	3	4	4	1.00	primary metabolic process
CRP_CytR_DeoR_Fis_ModE	GO:0050896	2	4	4	1.00	response to stimulus
CRP_CytR_DeoR_Fis_ModE	GO:0006950	3	4	4	1.00	response to stress
CRP_CytR_DeoR_Fis_ModE	GO:0033554	4	4	4	1.00	cellular response to stress
CRP_CytR_DeoR_Fis_ModE	GO:0006974	5	4	4	1.00	cellular response to DNA damage stimulus
CRP_DgoR	GO:0008152	2	5	3	0.60	metabolic process
CRP_DgoR	GO:0071704	3	5	3	0.60	organic substance metabolic process
CRP_DgoR	GO:0005975	4	5	3	0.60	carbohydrate metabolic process
CRP_DgoR	GO:0044262	4	5	3	0.60	cellular carbohydrate metabolic process
CRP_DgoR	GO:0046835	5	5	1	0.20	carbohydrate phosphorylation
CRP_DgoR	GO:0044275	5	5	3	0.60	cellular carbohydrate catabolic process
CRP_DgoR	GO:0046176	6	5	3	0.60	aldonic acid catabolic process
CRP_DgoR	GO:0019584	7	5	3	0.60	galactonate catabolic process
CRP_DgoR	GO:0034194	8	5	3	0.60	D-galactonate catabolic process
CRP_DgoR	GO:0016052	5	5	3	0.60	carbohydrate catabolic process
CRP_DgoR	GO:0044237	3	5	3	0.60	cellular metabolic process
CRP_DgoR	GO:0044248	4	5	3	0.60	cellular catabolic process
CRP_DgoR	GO:0006793	4	5	1	0.20	phosphorus metabolic process
CRP_DgoR	GO:0006796	5	5	1	0.20	phosphate-containing compound metabolic process
CRP_DgoR	GO:0016310	6	5	1	0.20	phosphorylation
CRP_DgoR	GO:0009056	3	5	3	0.60	catabolic process
CRP_DgoR	GO:0044238	3	5	3	0.60	primary metabolic process
CRP_DgoR	GO:0006520	4	5	1	0.20	cellular amino acid metabolic process
CRP_DgoR	GO:0009063	5	5	1	0.20	cellular amino acid catabolic process
CRP_DnaA_Fis_PurR	GO:0008152	2	2	2	1.00	metabolic process
CRP_DnaA_Fis_PurR	GO:0044237	3	2	2	1.00	cellular metabolic process
CRP_DnaA_Fis_PurR	GO:0006793	4	2	2	1.00	phosphorus metabolic process
CRP_DnaA_Fis_PurR	GO:0006796	5	2	2	1.00	phosphate-containing compound metabolic process
CRP_DnaA_Fis_PurR	GO:0006753	6	2	2	1.00	nucleoside phosphate metabolic process
CRP_DnaA_Fis_PurR	GO:0009117	7	2	2	1.00	nucleotide metabolic process
CRP_DnaA_Fis_PurR	GO:0006163	8	2	2	1.00	purine nucleotide metabolic process
CRP_DnaA_Fis_PurR	GO:0006164	9	2	2	1.00	purine nucleotide biosynthetic process
CRP_DnaA_Fis_PurR	GO:0009152	10	2	2	1.00	purine ribonucleotide biosynthetic process
CRP_DnaA_Fis_PurR	GO:0006177	11	2	2	1.00	GMP biosynthetic process
CRP_DnaA_Fis_PurR	GO:0006183	11	2	1	0.50	GTP biosynthetic process
CRP_DnaA_Fis_PurR	GO:0009165	8	2	2	1.00	nucleotide biosynthetic process
CRP_DnaA_Fis_PurR	GO:0006725	4	2	2	1.00	cellular aromatic compound metabolic process
CRP_DnaA_Fis_PurR	GO:0006139	4	2	2	1.00	nucleobase-containing compound metabolic process
CRP_DnaA_Fis_PurR	GO:0055086	5	2	2	1.00	nucleobase-containing small molecule metabolic process
CRP_DnaA_Fis_PurR	GO:0055114	3	2	1	0.50	oxidation-reduction process
CRP_DnaA_Fis_PurR	GO:0044238	3	2	2	1.00	primary metabolic process
CRP_DsdC	GO:0008152	2	2	1	0.50	metabolic process
CRP_DsdC	GO:0044238	3	2	1	0.50	primary metabolic process
CRP_DsdC	GO:0006520	4	2	1	0.50	cellular amino acid metabolic process
CRP_DsdC	GO:1901605	5	2	1	0.50	alpha-amino acid metabolic process
CRP_DsdC	GO:0046416	6	2	1	0.50	D-amino acid metabolic process
CRP_DsdC	GO:0070178	7	2	1	0.50	D-serine metabolic process
CRP_DsdC	GO:0036088	8	2	1	0.50	D-serine catabolic process
CRP_DsdC	GO:0019478	7	2	1	0.50	D-amino acid catabolic process
CRP_DsdC	GO:0050896	2	2	2	1.00	response to stimulus
CRP_DsdC	GO:0006950	3	2	2	1.00	response to stress
CRP_DsdC	GO:0033554	4	2	2	1.00	cellular response to stress
CRP_DsdC	GO:0006974	5	2	2	1.00	cellular response to DNA damage stimulus
CRP_ExuR_FNR	GO:0008152	2	2	2	1.00	metabolic process
CRP_ExuR_FNR	GO:0071704	3	2	2	1.00	organic substance metabolic process
CRP_ExuR_FNR	GO:0005975	4	2	2	1.00	carbohydrate metabolic process
CRP_ExuR_FNR	GO:0016052	5	2	2	1.00	carbohydrate catabolic process
CRP_ExuR_FNR	GO:0046365	6	2	2	1.00	monosaccharide catabolic process
CRP_ExuR_FNR	GO:0006064	7	2	1	0.50	glucuronate catabolic process
CRP_ExuR_FNR	GO:0042840	8	2	1	0.50	D-glucuronate catabolic process
CRP_ExuR_FNR	GO:0046397	7	2	2	1.00	galacturonate catabolic process
CRP_ExuR_FNR	GO:0019698	8	2	2	1.00	D-galacturonate catabolic process
CRP_ExuR_FNR	GO:0005996	5	2	2	1.00	monosaccharide metabolic process
CRP_ExuR_FNR	GO:0044238	3	2	2	1.00	primary metabolic process
CRP_ExuR_OxyR_UxuR	GO:0008152	2	2	2	1.00	metabolic process
CRP_ExuR_OxyR_UxuR	GO:0071704	3	2	2	1.00	organic substance metabolic process
CRP_ExuR_OxyR_UxuR	GO:0005975	4	2	2	1.00	carbohydrate metabolic process
CRP_ExuR_OxyR_UxuR	GO:0016052	5	2	2	1.00	carbohydrate catabolic process
CRP_ExuR_OxyR_UxuR	GO:0046365	6	2	2	1.00	monosaccharide catabolic process
CRP_ExuR_OxyR_UxuR	GO:0006064	7	2	2	1.00	glucuronate catabolic process
CRP_ExuR_OxyR_UxuR	GO:0042840	8	2	2	1.00	D-glucuronate catabolic process
CRP_ExuR_OxyR_UxuR	GO:0005996	5	2	2	1.00	monosaccharide metabolic process
CRP_ExuR_OxyR_UxuR	GO:0055114	3	2	1	0.50	oxidation-reduction process
CRP_ExuR_OxyR_UxuR	GO:0044238	3	2	2	1.00	primary metabolic process
CRP_ExuR_OxyR_UxuR	GO:0050896	2	2	1	0.50	response to stimulus
CRP_ExuR_OxyR_UxuR	GO:0006950	3	2	1	0.50	response to stress
CRP_ExuR_OxyR_UxuR	GO:0033554	4	2	1	0.50	cellular response to stress
CRP_ExuR_OxyR_UxuR	GO:0006974	5	2	1	0.50	cellular response to DNA damage stimulus
CRP_ExuR_UxuR	GO:0008152	2	3	1	0.33	metabolic process
CRP_ExuR_UxuR	GO:0071704	3	3	1	0.33	organic substance metabolic process
CRP_ExuR_UxuR	GO:0005975	4	3	1	0.33	carbohydrate metabolic process
CRP_ExuR_UxuR	GO:0044262	4	3	1	0.33	cellular carbohydrate metabolic process
CRP_ExuR_UxuR	GO:0044275	5	3	1	0.33	cellular carbohydrate catabolic process
CRP_ExuR_UxuR	GO:0046176	6	3	1	0.33	aldonic acid catabolic process
CRP_ExuR_UxuR	GO:0019584	7	3	1	0.33	galactonate catabolic process
CRP_ExuR_UxuR	GO:0016052	5	3	1	0.33	carbohydrate catabolic process
CRP_ExuR_UxuR	GO:0044237	3	3	1	0.33	cellular metabolic process
CRP_ExuR_UxuR	GO:0044248	4	3	1	0.33	cellular catabolic process
CRP_ExuR_UxuR	GO:0009056	3	3	1	0.33	catabolic process
CRP_ExuR_UxuR	GO:0044238	3	3	1	0.33	primary metabolic process
CRP_FNR_FhlA_HyfR	GO:0008152	2	12	10	0.83	metabolic process
CRP_FNR_FhlA_HyfR	GO:0044237	3	12	1	0.08	cellular metabolic process
CRP_FNR_FhlA_HyfR	GO:0006091	4	12	1	0.08	generation of precursor metabolites and energy
CRP_FNR_FhlA_HyfR	GO:0022900	4	12	1	0.08	electron transport chain
CRP_FNR_FhlA_HyfR	GO:0022904	5	12	1	0.08	respiratory electron transport chain
CRP_FNR_FhlA_HyfR	GO:0042773	6	12	1	0.08	ATP synthesis coupled electron transport
CRP_FNR_FhlA_HyfR	GO:0055114	3	12	10	0.83	oxidation-reduction process
CRP_FNR_FhlA_HyfR	GO:0050896	2	12	2	0.17	response to stimulus
CRP_FNR_FhlA_HyfR	GO:0006950	3	12	2	0.17	response to stress
CRP_FNR_FhlA_HyfR	GO:0033554	4	12	2	0.17	cellular response to stress
CRP_FNR_FhlA_HyfR	GO:0006974	5	12	2	0.17	cellular response to DNA damage stimulus
CRP_FNR_Fis	GO:0008152	2	3	1	0.33	metabolic process
CRP_FNR_Fis	GO:0044238	3	3	1	0.33	primary metabolic process
CRP_FNR_Fis	GO:0006520	4	3	1	0.33	cellular amino acid metabolic process
CRP_FNR_Fis_GlpR_IHF	GO:0008152	2	2	1	0.50	metabolic process
CRP_FNR_Fis_GlpR_IHF	GO:0071704	3	2	1	0.50	organic substance metabolic process
CRP_FNR_Fis_GlpR_IHF	GO:0006629	4	2	1	0.50	lipid metabolic process
CRP_FNR_Fis_GlpR_IHF	GO:0044238	3	2	1	0.50	primary metabolic process
CRP_FNR_GcvA_Lrp_PurR	GO:0008152	2	3	2	0.67	metabolic process
CRP_FNR_GcvA_Lrp_PurR	GO:0032259	3	3	1	0.33	methylation
CRP_FNR_GcvA_Lrp_PurR	GO:0055114	3	3	1	0.33	oxidation-reduction process
CRP_FNR_IHF_TdcA_TdcR	GO:0008152	2	7	4	0.57	metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0071704	3	7	3	0.43	organic substance metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0005975	4	7	2	0.29	carbohydrate metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0005996	5	7	1	0.14	monosaccharide metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0019318	6	7	1	0.14	hexose metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0006006	7	7	1	0.14	glucose metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0006094	8	7	1	0.14	gluconeogenesis
CRP_FNR_IHF_TdcA_TdcR	GO:0006082	4	7	1	0.14	organic acid metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0044237	3	7	1	0.14	cellular metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0006793	4	7	1	0.14	phosphorus metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0006796	5	7	1	0.14	phosphate-containing compound metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0016310	6	7	1	0.14	phosphorylation
CRP_FNR_IHF_TdcA_TdcR	GO:0044238	3	7	4	0.57	primary metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0006520	4	7	3	0.43	cellular amino acid metabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0009063	5	7	2	0.29	cellular amino acid catabolic process
CRP_FNR_IHF_TdcA_TdcR	GO:0019665	6	7	1	0.14	anaerobic amino acid catabolic process
CRP_FNR_NarL	GO:0008152	2	3	2	0.67	metabolic process
CRP_FNR_NarL	GO:0009058	3	3	1	0.33	biosynthetic process
CRP_FNR_NarL	GO:0044249	4	3	1	0.33	cellular biosynthetic process
CRP_FNR_NarL	GO:0044271	5	3	1	0.33	cellular nitrogen compound biosynthetic process
CRP_FNR_NarL	GO:0044237	3	3	1	0.33	cellular metabolic process
CRP_FNR_NarL	GO:0044238	3	3	1	0.33	primary metabolic process
CRP_FNR_NarL	GO:0006099	4	3	1	0.33	tricarboxylic acid cycle
CRP_Fis	GO:0008152	2	5	1	0.20	metabolic process
CRP_Fis	GO:0055114	3	5	1	0.20	oxidation-reduction process
CRP_Fis	GO:0050896	2	5	3	0.60	response to stimulus
CRP_Fis	GO:0006950	3	5	3	0.60	response to stress
CRP_Fis	GO:0033554	4	5	2	0.40	cellular response to stress
CRP_Fis	GO:0006974	5	5	2	0.40	cellular response to DNA damage stimulus
CRP_Fis	GO:0006970	4	5	1	0.20	response to osmotic stress
CRP_Fis	GO:0006972	5	5	1	0.20	hyperosmotic response
CRP_Fis	GO:0042538	6	5	1	0.20	hyperosmotic salinity response
CRP_Fis	GO:0071475	7	5	1	0.20	cellular hyperosmotic salinity response
CRP_Fis	GO:0071474	6	5	1	0.20	cellular hyperosmotic response
CRP_Fis	GO:0009651	5	5	1	0.20	response to salt stress
CRP_Fis	GO:0071472	6	5	1	0.20	cellular response to salt stress
CRP_Fis	GO:0071470	5	5	1	0.20	cellular response to osmotic stress
CRP_Fis	GO:0007231	6	5	1	0.20	osmosensory signaling pathway
CRP_Fis_FlhDC_GalR_GalS	GO:0050896	2	2	2	1.00	response to stimulus
CRP_Fis_FlhDC_GalR_GalS	GO:0006950	3	2	2	1.00	response to stress
CRP_Fis_FlhDC_GalR_GalS	GO:0033554	4	2	2	1.00	cellular response to stress
CRP_Fis_FlhDC_GalR_GalS	GO:0006974	5	2	2	1.00	cellular response to DNA damage stimulus
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0008152	2	3	2	0.67	metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0071704	3	3	1	0.33	organic substance metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0005975	4	3	1	0.33	carbohydrate metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0016052	5	3	1	0.33	carbohydrate catabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0044237	3	3	1	0.33	cellular metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0006793	4	3	1	0.33	phosphorus metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0006796	5	3	1	0.33	phosphate-containing compound metabolic process
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0016310	6	3	1	0.33	phosphorylation
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	GO:0044238	3	3	1	0.33	primary metabolic process
CRP_Fis_IHF	GO:0008152	2	4	2	0.50	metabolic process
CRP_Fis_IHF	GO:0044237	3	4	1	0.25	cellular metabolic process
CRP_Fis_IHF	GO:0044248	4	4	1	0.25	cellular catabolic process
CRP_Fis_IHF	GO:0017001	5	4	1	0.25	antibiotic catabolic process
CRP_Fis_IHF	GO:0045733	6	4	1	0.25	acetate catabolic process
CRP_Fis_IHF	GO:0055114	3	4	1	0.25	oxidation-reduction process
CRP_Fis_IHF	GO:0009056	3	4	1	0.25	catabolic process
CRP_Fis_NanR	GO:0008152	2	5	3	0.60	metabolic process
CRP_Fis_NanR	GO:0071704	3	5	3	0.60	organic substance metabolic process
CRP_Fis_NanR	GO:1901135	4	5	3	0.60	carbohydrate derivative metabolic process
CRP_Fis_NanR	GO:0006040	5	5	3	0.60	amino sugar metabolic process
CRP_Fis_NanR	GO:0006054	6	5	3	0.60	N-acetylneuraminate metabolic process
CRP_Fis_NanR	GO:0019262	6	5	3	0.60	N-acetylneuraminate catabolic process
CRP_Fis_NanR	GO:0046348	6	5	3	0.60	amino sugar catabolic process
CRP_Fis_NanR	GO:0005975	4	5	3	0.60	carbohydrate metabolic process
CRP_Fis_NanR	GO:0044262	4	5	1	0.20	cellular carbohydrate metabolic process
CRP_Fis_NanR	GO:0046835	5	5	1	0.20	carbohydrate phosphorylation
CRP_Fis_NanR	GO:0044237	3	5	3	0.60	cellular metabolic process
CRP_Fis_NanR	GO:0044248	4	5	3	0.60	cellular catabolic process
CRP_Fis_NanR	GO:0017001	5	5	3	0.60	antibiotic catabolic process
CRP_Fis_NanR	GO:0006793	4	5	1	0.20	phosphorus metabolic process
CRP_Fis_NanR	GO:0006796	5	5	1	0.20	phosphate-containing compound metabolic process
CRP_Fis_NanR	GO:0016310	6	5	1	0.20	phosphorylation
CRP_Fis_NanR	GO:0009056	3	5	3	0.60	catabolic process
CRP_Fis_NanR	GO:0044238	3	5	3	0.60	primary metabolic process
CRP_Fis_NanR	GO:0050896	2	5	2	0.40	response to stimulus
CRP_Fis_NanR	GO:0006950	3	5	2	0.40	response to stress
CRP_Fis_NanR	GO:0033554	4	5	2	0.40	cellular response to stress
CRP_Fis_NanR	GO:0006974	5	5	2	0.40	cellular response to DNA damage stimulus
CRP_Fis_NtrC	GO:0008152	2	3	2	0.67	metabolic process
CRP_Fis_NtrC	GO:0044237	3	3	1	0.33	cellular metabolic process
